Application Number,Filing Date,Mark Name,Trademark Description,Goods and Services,Applicant Name,Applicant Country,Trademark Image URL,Status,Expiry Date
T0320965G,2003-09-26,epanova,,"Pharmaceutical, medical, hygienic and veterinary preparations and substances; pharmaceutical dietetic preparations and substances; preparations and substances for treating problems in gastro-intestinal region; not including vitamin and mineral preparations.",Chrysalis Pharma AG,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320965G/4a99108b-57b2-4724-b1e0-872ab26769ce/T0320965G.jpg,Expired ,2012-06-11
T0320967C,2003-10-31,pferd,,Tools (hand-operated).,AUGUST RUGGEBERG GMBH & CO. KG,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320967C/ed1c9a18-23e4-4f06-992a-ab9d0bc0db54/T0320967C.jpg,Registered,2022-08-15
T0320968A,2003-02-14,yerbamate,,"Soaps, shaving creams, after-shave lotions, also in cream form; bubble baths, shampoos, lotions, essential oils, perfumes in liquid and solid form and as creams; perfumed bath oils, eau de toilette and eau de cologne, perfumes and scented waters, deodorants for personal use, incense, balms.",LORENZO VILLORESI,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320968A/437f1991-ec81-4399-8749-91a895be5ca9/T0320968A.jpg,Registered,2022-03-11
T0320969Z,2003-11-12,oez,,"Storage, handling and transport pallets and containers of metal; distributor boxes of metal (empty); other products of metal (not of precious metal) not included in other classes.",OEZ S.R.O.,Czech Republic,https://ipos-storage.data.gov.sg/trademarks/T0320969Z/e4e4cbc9-8b8c-45c7-9a65-3bae2f2b6283/T0320969Z.jpg,Registered,2022-04-10
T0320970C,2003-11-12,oez,,"Machines; single purpose machines; equipment and installations used during the mechanization, robotization and rationalization of manufacturing processes; machines for processing metal, plastics and wastes therefrom; moulds, patterns, master forms, shears, tools and other accessories included in this class.",OEZ S.R.O.,Czech Republic,https://ipos-storage.data.gov.sg/trademarks/T0320970C/f8e175cc-aeb4-4dbd-8900-100093297182/T0320970C.jpg,Registered,2022-04-10
T0320971A,2003-11-12,oez,,"Software; electrical and electronic apparatus and instruments; measuring and signalling apparatus; electrical monitoring and protection apparatus; apparatus for regulating and checking electric current; electric equipment for the remote control of industrial operations and electric systems; testers, switchboards, connecting and disconnecting boxes and pillars, pressure and float switches; knife shaped (HRC knife) and cylindrical power fuses including accessories; fuses for protection of semiconductors including accessories; fuse-disconnectors and fuse switch-disconnectors including accessories; circuit breakers including parts and accessories; switches; surge voltage arresters; residual current circuit-breakers; contactors; switching apparatus; push buttons; home and industrial distribution apparatus; sockets; relays of all kinds; transformers; time switches; signalling devices; plastic electric switchboards; busbars, connecting elements and modular electric apparatus; double branch joints; distribution boards; electric conductors; cables and electroconducting bands; crossover and wagon flexible electric couplings; testing apparatus and equipment for electric apparatus, all included in this class.",OEZ S.R.O.,Czech Republic,https://ipos-storage.data.gov.sg/trademarks/T0320971A/23ebe6ca-4b96-4e3e-9fe6-9228bfde3dd0/T0320971A.jpg,Registered,2022-04-10
T0320972Z,2003-11-12,conceptuk,,"Clothing, footwear and headgear of all kinds, including clothing, footwear and headgear for sports, including all the aforesaid goods of leather (included in this class); belts of leather.",Concept K Gesellschaft fur Modevertrieb mbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320972Z/71e8afe8-1aaf-4744-b122-d2eb8cee9745/T0320972Z.jpg,Expired ,2013-01-11
T0320973H,2003-11-19,parliament,,Alcoholic beverages (except beers).,Copecresto Enterprises Limited,Cyprus,https://ipos-storage.data.gov.sg/trademarks/T0320973H/1a628cc5-845e-48da-898d-2fb0c5fca23a/T0320973H.jpg,Registered,2023-06-17
T0320974F,2003-10-13,avva avva.com.tr,,"Clothing; outerclothing; underwear; socks; footwear; headgear; special clothes for babies included in this class; braces for clothing, sarongs, collars, scarfs, neckties, bow ties, gloves, shawls, bandanas, cuffs, headbands, wristbands; belts, suspenders, garters.",DIDO KONFEKSIYON TEKSTIL TICARET VE SANAYI LIMITED SIRKETI,Turkey,https://ipos-storage.data.gov.sg/trademarks/T0320974F/f25e6abd-f3a6-4713-a58d-360087584247/T0320974F.jpg,Registered,2023-06-06
T0320975D,2003-09-05,cerruti,,"Apparatus for lighting, heating, steam generating, cooking, refrigerating, drying, ventilating, water supply and sanitary installations.",CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320975D/baab14d7-e571-42d8-b5da-07b70d3a7403/T0320975D.jpg,Registered,2023-07-03
T0320976B,2003-09-05,cerruti,,"Paper, cardboard and goods made from these materials, not included in other classes; printed matter; bookbinding material; photographs; stationery; adhesives for stationery or household purposes; artists' supplies; paintbrushes; typewriters and office articles (except furniture); instructional or teaching material (excluding apparatus); plastic materials for packaging (not included in other classes); printers' type; printing blocks.",CERRUTI 1881 s.a.s.,France,https://ipos-storage.data.gov.sg/trademarks/T0320976B/0975d801-be8c-4ff8-9ad6-435a896b1903/T0320976B.jpg,Registered,2023-07-03
T0320977J,2003-09-05,cerruti,,"Furniture, mirrors, frames; goods (not included in other classes) of wood, cork, reed, cane, wicker, horn, bone, ivory, whalebone, shell, amber, mother-of-pearl, meerschaum, substitutes of all these materials or plastics.",CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320977J/eec71c66-b10e-4e6e-8dfd-60d25ec2c0a4/T0320977J.jpg,Registered,2023-07-03
T0320978I,2003-09-05,cerruti,,"Household or kitchen utensils and containers (neither of precious metal nor coated therewith); combs and sponges; brushes (except paintbrushes); brush-making materials; cleaning equipment; steel wool; unworked or semi-worked glass (except building glass); glassware, porcelain and earthenware not included in other classes.",CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320978I/5bb12a63-810a-4953-a9b4-ae1ab892b326/T0320978I.jpg,Registered,2023-07-03
T0320979G,2003-09-05,cerruti,,"Ropes, strings, nets, tents, awnings, tarpaulins, sails, sacks and bags (not included in other classes); padding and stuffing materials (except rubber or plastics); raw fibrous textile.",CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320979G/4f85afac-2d57-48b1-aafb-ec2a845ba0fb/T0320979G.jpg,Registered,2023-07-03
T0320980J,2003-09-05,cerruti,,"Lace and embroidery, ribbons and braids; buttons, hooks and eyelets, pins and needles; artificial flowers.",CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320980J/b6f989af-65af-4ab8-a7b8-1f0bb9fe5fdf/T0320980J.jpg,Cancelled,2023-07-03
T0320981I,2003-09-05,cerruti,,"Carpets, mats, rugs, linoleum and other floor coverings; wall hangings (non-textile).",CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320981I/a103ac22-3290-4924-b214-f1da4332359f/T0320981I.jpg,Registered,2023-07-03
T0320982G,2003-09-05,cerruti,,Advertising; business management; business administration; office functions.,CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320982G/0c0dc55b-10ce-453b-9922-615ae3a01325/T0320982G.jpg,Registered,2023-07-03
T0320983E,2003-09-05,cerruti,,Provision of food and drink in restaurants; temporary accommodation.,CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320983E/425781be-06ee-42ef-a663-e305c03060e5/T0320983E.jpg,Registered,2023-07-03
T0320984C,2003-09-05,cerruti,,"Medical services; veterinary services; hygienic and beauty care for human beings or animals; agriculture, horticulture and forestry services.",CERRUTI 1881,Italy,https://ipos-storage.data.gov.sg/trademarks/T0320984C/7508969c-14fc-4df7-82cd-6394994d3aa1/T0320984C.jpg,Registered,2023-07-03
T0320985A,2003-08-12,lincoln graphics,,"Ironmongery, articles of metal hardware; goods made of metal (included in class 6); pipes and tubes of metal; receptacles, containers and tanks of metal, in particular for packaging, transporting, laying in stock and storing (included in class 6); valves and bolts (except as machine parts) of metal.",SKF Lubrication Systems Germany GmbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320985A/32cf088d-338f-49d4-821a-3c812065ca02/T0320985A.jpg,Registered,2023-08-12
T0320986Z,2003-08-12,lincoln graphics,,"Machines for the printing industry; machines and devices for fluid conveying; pumps for fluids; engines (not for vehicles); power-driven pistols for fluids; injectors for fluids as machine parts; filling machines and equipment made thereof; fluid distributors as machine parts; storage receptacles for fluids as machine parts; applicators, spray nozzles, valves, taps and filters as machine parts; fluid dispensing systems, essentially including pumps, dispensing pistols, injectors, spray heads; power-driven lifting devices and presses; characteristic parts of the machines, devices, pumps, engines, pistols, injectors, distributors, storage receptacles and dispensing systems mentioned before included in class 7; all excluding welding and/or cutting products.",SKF Lubrication Systems Germany GmbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320986Z/50de4181-b088-425e-96e8-55740cc0641b/T0320986Z.jpg,Registered,2023-08-12
T0320987H,2003-08-12,lincoln graphics,,"Manually operated fluid conveying devices, fluid filling devices, fluid spraying devices, fluid applicators and fluid injectors.",SKF Lubrication Systems Germany GmbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320987H/062197a2-e412-4688-abdc-9c51f07a6778/T0320987H.jpg,Registered,2023-08-12
T0320988F,2003-08-12,lincoln graphics,,"Apparatus and instruments for conducting, switching, transforming, accumulating, regulating or controlling electricity, in particular for regulating and controlling the goods mentioned in classes 7 and 8; monitors, measuring, metering, signalling, regulating and controlling apparatus and devices; apparatus for recording, transmission and reproduction of data; data recording carriers; all aforementioned goods in particular for use with the goods indicated in classes 7 and 8; colour control and colour measuring apparatus; all excluding welding and/or cutting products.",SKF Lubrication Systems Germany GmbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320988F/4b32d8df-a318-4c6d-86e3-a1f0785485aa/T0320988F.jpg,Registered,2023-08-12
T0320989D,2003-08-12,lincoln graphics,,"Filters, valves and taps for tubes and tube equipment.",SKF Lubrication Systems Germany GmbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320989D/362ba38b-bb8a-4f63-a55d-6240bf2a991a/T0320989D.jpg,Registered,2023-08-12
T0320990H,2003-08-12,lincoln graphics,,"Receptacles, containers and tanks of plastic material, in particular for packaging, transporting, laying in stock and storing (included in class 20); non-metal valves and bolts (except as machine parts).",SKF Lubrication Systems Germany GmbH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0320990H/e1d93e4e-e477-4c2e-87bf-e5eec13c11ba/T0320990H.jpg,Registered,2023-08-12
T0320991F,2003-10-09,oriflame believe,,"Soaps, perfumery, essential oils, cosmetics, hair lotions, dentifrices.",ORIFLAME COSMETICS S.A.,Luxembourg,https://ipos-storage.data.gov.sg/trademarks/T0320991F/b9bfcc80-0b32-4975-9015-bbbb8be8bac9/T0320991F.jpg,Abandoned ,
T0320992D,2003-10-09,oriflame believe,,"Precious metals and their alloys and goods in precious metals or coated therewith, not included in other classes; jewellery, precious stones, horological and chronometric instruments.",ORIFLAME COSMETICS S.A.,Luxembourg,https://ipos-storage.data.gov.sg/trademarks/T0320992D/60f22ebf-4eed-4caa-9e20-6329a70720e7/T0320992D.jpg,Expired ,2013-10-09
T0320993B,2003-10-09,oriflame believe,,"Clothing, footwear, headgear.",ORIFLAME COSMETICS S.A.,Luxembourg,https://ipos-storage.data.gov.sg/trademarks/T0320993B/91150d30-7613-42b9-bf66-136170b74a4f/T0320993B.jpg,Expired ,2013-10-09
T0320994J,2003-10-30,lickin's,,"Animal feed, biscuits and snacks for pets.",SOCIETE DES PRODUITS NESTLE S.A.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320994J/c3d9c3f6-19ec-4fdd-8c81-87c7e5e0c692/T0320994J.jpg,Expired ,2013-10-30
T0320995I,2003-10-07,pink cocktail,,Mineral and aerated waters and other non-alcoholic drinks; fruit drinks and fruit juices; syrups and other preparations for making beverages.,Betola NV,Belgium,https://ipos-storage.data.gov.sg/trademarks/T0320995I/d1deb9cd-841d-46e6-8b35-d76db6e19108/T0320995I.jpg,Registered,2023-10-07
T0320996G,2003-11-06,finezzo,,"Coffee, coffee extracts, preparations and beverages made with coffee; iced coffee; artificial coffee, artificial coffee extracts, preparations and beverages made with artificial coffee; chicory; tea, tea extracts, preparations and beverages made with tea; iced tea.",SOCIETE DES PRODUITS NESTLE S.A.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320996G/61fc6e46-05c7-4dcc-9bcc-309ae30c7b98/T0320996G.jpg,Registered,2023-11-06
T0320998C,2003-11-19,ermenegildo zegna,,"Leather and imitations thereof, goods of these materials not included in other classes; animal skins and hides; trunks and suitcases; umbrellas, parasols and walking sticks; whips and saddlery.",CONSITEX S.A.,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0320998C/20e10a60-19fb-440c-b489-16207364967d/T0320998C.jpg,Registered,2023-11-19
T0321000J,2003-11-03,cross colours,,"Clothing, footwear, headgear.",Urban Trends Trading BV,Netherlands,https://ipos-storage.data.gov.sg/trademarks/T0321000J/2b28c921-398e-4f0c-ac36-fb6646a983ec/T0321000J.jpg,Registered,2023-11-03
T0321001I,2003-09-25,mersey valley,,Cheese.,LACTOS PTY LTD ACN 009 479 869,Australia,https://ipos-storage.data.gov.sg/trademarks/T0321001I/e97a1bdb-9868-4794-877c-6b240146c0e2/T0321001I.jpg,Registered,2023-09-25
T0321002G,2003-09-29,bug in a rug,,Baby clothing including baby clothing in the form of fitted wraps with feet and a hood.,Bayfield Holdings Pty Ltd,Australia,https://ipos-storage.data.gov.sg/trademarks/T0321002G/69b00cb9-8e45-46db-b57d-c5a394cfe5b3/T0321002G.jpg,Expired ,2013-09-29
T0321003E,2003-08-25,exilean,,Veterinary products for the treatment of overweight and obesity of dogs and cats.,JANSSEN PHARMACEUTICA N.V.,Belgium,https://ipos-storage.data.gov.sg/trademarks/T0321003E/373fffe3-146e-421b-b1a5-f8b7033ed4ce/T0321003E.jpg,Expired ,2013-08-25
T0321004C,2003-11-11,burberry brit,,"Non-medicated toilet preparations, perfumes, cosmetics preparations for the teeth, soaps, anti-perspirants, eau de cologne and toilet water, essential oils, shaving preparations, potpourris; none of the foregoing goods for use with hair.",BURBERRY LIMITED,United Kingdom,https://ipos-storage.data.gov.sg/trademarks/T0321004C/4eebb6ff-770f-48f3-ad37-34ec7fa42d9d/T0321004C.jpg,Registered,2023-11-11
T0321005A,2003-06-17,clima balance,,"Bedding, in particular under blankets; pillows and sofa cushions, mattresses, mattress toppers [bedding], mattress foundations [bedding], sleeping bags for camping purposes.",SANDERS GMBH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0321005A/418a550a-285a-44e0-abb5-812c19821a95/T0321005A.jpg,Registered,2023-06-17
T0321007H,2003-06-17,clima balance,,"Multilayer clothing with insulation, i.e clothing at least partly equipped with wadding, downs or fibres.",SANDERS GMBH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0321007H/2e3a32ec-d70c-4230-89b7-5e3462745809/T0321007H.jpg,Registered,2023-06-17
T0321008F,2003-11-12,u.are.u firefly,,"Computer hardware and electronic apparatus for use in electronic identification and verification of biometric data in electronic commerce, electronic mail, banking services, security applications, identity management and user account management applications, database access, personal computers, computer peripherals, personal digital assistants, electronic personal organizers, network applications, Internet services, telephones, digital storage devices, electronic keys, remote system access, remote controls, physical access, point of sales and point of distribution equipment, digital identification and authentication of individuals, and electronic entertainment devices in the nature of televisions, electronic game consoles, and set-top boxes; computer cursor control devices, namely, multi-directional scroll wheels, multi-directional jog dials.","DIGITAL PERSONA, INC.",United States of America,https://ipos-storage.data.gov.sg/trademarks/T0321008F/7e2637ef-990f-44de-94f3-e49a97a9421d/T0321008F.jpg,Cancelled,2013-11-12
T0321009D,2003-08-14,tepa t,,Clothes and sports footwear and headwear.,"ROMAIA - COMERCIO E REPRESENTACOES DE DESPORTO, S.A.",Portugal,https://ipos-storage.data.gov.sg/trademarks/T0321009D/fb459395-6ab4-42c2-a4c6-c3f1ceba3cf5/T0321009D.jpg,Expired ,2013-08-14
T0321010H,2003-08-21,exac temp,,"Medical apparatus for taking temperature, clinical thermometers, in particular infrared thermometers, ear thermometers as well as parts of the aforementioned apparatus.",Kaz Europe Sàrl,Switzerland,https://ipos-storage.data.gov.sg/trademarks/T0321010H/a18e04a9-c1c9-44fc-8ac6-568ad8add714/T0321010H.jpg,Registered,2023-08-21
T0321014J,2003-09-26,music wizard,,"Telecommunications, information on telecommunications; communications via computer terminals or via fiber-optic networks; radio or telephone communications; mobile radiotelephony services, provision of access to a global computer network; electronic display services (telecommunications), connection by telecommunications to a global computer network; news or information agencies; rental of telecommunication equipment; radio or television broadcasts; teleconferencing services; electronic messaging services.",MUSIWAVE SA,France,https://ipos-storage.data.gov.sg/trademarks/T0321014J/8fde35af-ac97-4f7d-9a11-7d75986cc8ad/T0321014J.jpg,Expired ,2013-09-26
T0321016G,2003-09-26,music wizard,,"Evaluations, assessments and research in the fields of science and technology provided by engineers; computer and software design and development; legal services; research and development of new products (for third parties); engineering project studies; architecture, interior decoration, computer software development (design), installation, maintenance, updating or rental, computer programming; computer consultancy; conversion of data and computer programs (other than physical conversion); conversion of documents from a physical medium to an electronic medium; technical inspection of motor cars; graphic arts design services; styling (industrial design), legal research; intellectual property consultancy; authentication of works of art; scientific research for medical purposes.",MUSIWAVE SA,France,https://ipos-storage.data.gov.sg/trademarks/T0321016G/a09f4c46-743b-4e83-9a84-19949513c4bf/T0321016G.jpg,Expired ,2013-09-26
T0321017E,2003-11-12,endoimage,,"Software for the processing of video endoscope systems and for the transfer of data from processors to a personal computer within such video endoscope systems, in particular consisting of a video endoscope, processors for digitalized color videos, monitor and keyboard.",PENTAX EUROPE GMBH,Germany,https://ipos-storage.data.gov.sg/trademarks/T0321017E/056a8240-0630-430f-9d73-3ce9cf7daf78/T0321017E.jpg,Expired ,2013-11-12
T0321018C,2003-09-29,parkmaster,,"Reversing sensors for vehicles, anti-collision sensors for vehicles, electronic devices, sonars, anti-collision radar for vehicles.",VODAFONE AUTOMOTIVE SPA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321018C/9eb646db-b9f3-44e7-9321-a46219b3bbc1/T0321018C.jpg,Registered,2023-09-29
T0321019A,2003-10-15,re-density,,"Perfumes, eau-de-toilette; bath and shower gels and salts for non-medical use; toilet soaps; body deodorants; cosmetics including face, body and hand creams, milks, lotions, gels and powders; tanning and after-sun milks, gels and oils (cosmetics); make-up products; shampoos; hair care and hair styling gels, mousses, balms and aerosol products; hair sprays; hair dyes and bleaching products; hair-curling and setting products; essential oils.",L'OREAL,France,https://ipos-storage.data.gov.sg/trademarks/T0321019A/d2cbe253-c358-445b-a7ec-e326eb626fa7/T0321019A.jpg,Registered,2023-10-15
T0321020E,2003-09-26,sanpaolo,,Insurance; financial operations; monetary operations; real estate operations.,INTESA SANPAOLO S.P.A.,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321020E/173105d9-53ad-4186-aad7-ee0b03693167/T0321020E.jpg,Expired ,2013-09-26
T0321023Z,2003-07-24,lip lip lip,,"Perfumery products, perfumes, cosmetics, essential oils, hair lotions, make-up products, soaps.",LVMH FRAGRANCE BRANDS,France,https://ipos-storage.data.gov.sg/trademarks/T0321023Z/60173e02-4752-4673-ac7f-f00fff02bbac/T0321023Z.jpg,Abandoned ,
T0321024H,2003-07-24,no complex,,"Perfumery products, perfumes, cosmetics, essential oils, hair lotions, make-up products, soaps.",LVMH FRAGRANCE BRANDS,France,https://ipos-storage.data.gov.sg/trademarks/T0321024H/ee651538-b1ee-41ed-babf-fff679bc6883/T0321024H.jpg,Registered,2023-07-24
T0321025F,2003-08-04,v,,"Bleaching preparations and other substances for laundry use; cleaning, polishing, scouring and abrasive preparations; soaps; perfumery, essential oils, cosmetics, hair lotions; dentifrices.",COMMUNE DI VENEZIA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321025F/0e0d3414-6bde-42e0-97b0-6625e0cdd09f/T0321025F.jpg,Registered,2023-08-04
T0321026D,2003-08-04,v,,"Precious metals and their alloys and goods in precious metals or coated therewith, included in this class; jewellery, precious stones; horological and chronometric instruments.",COMMUNE DI VENEZIA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321026D/9a1b4701-95b1-4f72-92db-639636a2d407/T0321026D.jpg,Registered,2023-08-04
T0321027B,2003-08-04,v,,"Paper, cardboard and goods made from these materials, included in this class; bookbinding material; photographs; stationery; adhesives for stationery or household purposes; artists' materials; paint brushes; typewriters and office requisites (except furniture); instructional and teaching material (except apparatus); plastic materials for packaging (included in this class); printers' type; printing blocks.",COMMUNE DI VENEZIA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321027B/cec24a72-45b2-409f-bbb3-9276815ca679/T0321027B.jpg,Registered,2023-08-04
T0321028J,2003-08-04,v,,"Leather and imitations of leather, goods made of these materials included in other classes; animal skins, hides; trunks and travelling bags; umbrellas, parasols and walking sticks; whips, harness and saddlery.",COMMUNE DI VENEZIA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321028J/758e46ea-cf94-4fcc-876c-841759e6f6de/T0321028J.jpg,Registered,2023-08-04
T0321029I,2003-08-04,v,,"Textiles and textile goods, included in this class; bed and table covers.",COMMUNE DI VENEZIA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321029I/2bc49be3-09bd-4db6-aa8c-75756e83d298/T0321029I.jpg,Registered,2023-08-04
T0321030B,2003-08-04,v,,"Clothing, footwear, headgear.",COMMUNE DI VENEZIA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321030B/a4b59323-3f9f-4641-8344-6b657a63caa3/T0321030B.jpg,Registered,2023-08-04
T0321031J,2003-08-04,v,,"Lace and embroidery, ribbons and braid; buttons, hooks and eyes, pins and needles; artificial flowers.",COMMUNE DI VENEZIA,Italy,https://ipos-storage.data.gov.sg/trademarks/T0321031J/a00d5e52-8e39-4c3d-a059-47cfd78ba408/T0321031J.jpg,Registered,2023-08-04
