Application Number,Filing Date,Mark Name,Trademark Description,Goods and Services,Applicant Name,Applicant Country,Trademark Image URL,Saved Image File,Status,Expiry Date
40201800021T,2018-01-02,matratze in der box ,,"Bed fittings, not of metal; Beds; Headboards for beds; Furniture cabinets; Chairs [seats]; Cushions; Dressing tables; Furniture fittings, not of metal; Mattresses; Spring mattresses; Pillows; Seats; Showcases [furniture]; Sofas; Sofa beds; Convertible sofas; Seat sofas; Extendible sofas; Tables; Tables of metal; Trays, not of metal; Trolleys [furniture]; Consoles [furniture]; Curtain rods; Shelves for storage; Costume stands; Stools; Racks [furniture]; Office furniture; Bedroom furniture; Wardrobes; Kitchen cabinets; Kitchen furniture; Furniture for the living room; Dining tables; Outdoor furniture.",SIGNATURE BEDROOM SDN. BHD.,Malaysia,https://ipos-storage.data.gov.sg/trademarks/40201800021T/cd4d6f74-dcdc-469d-ad85-bfb3d8086d54/bae420e5-7f09-46db-9e83-4bae49bd57da.jpg,40201800021T.jpg,Pending (Published),
40201800023X,2018-01-02,abeille royale double r ,,"Cosmetics for skin, body, face, nail and hair care; creams, milks, lotions, gels and powders (not for medical purposes) for the face, body and hands.",GUERLAIN SOCIETE ANONYME,France,https://ipos-storage.data.gov.sg/trademarks/40201800023X/3a69040f-5621-4257-9ebe-817a0491e857/f795c6cd-708b-46f5-8048-83fdc8e1288a.jpg,40201800023X.jpg,Registered,2028-01-02
40201800024V,2018-01-02,omars ,,"Rechargeable batteries; chargers for electric batteries; wires, electric; audio- and video-receivers; computer peripheral devices; Headphones; monitors [computer hardware]; portable media players; cabinets for loudspeakers; plugs, sockets and other contacts [electric connections]; computer keyboards; USB flash drives; testing apparatus not for medical purposes; thermometers, not for medical purposes; Data transmission cables; Electric cables for the transmission of sounds and images; Power connectors; USB chargers; Battery chargers; Audio cable connectors.",Wellmade Corporation Limited,Hong Kong,https://ipos-storage.data.gov.sg/trademarks/40201800024V/14fc9245-93a1-4db5-9e9a-4289e6e8a38f/d68a067d-2399-46ed-b7cd-7179bdffcd83.jpg,40201800024V.jpg,Registered,2028-01-02
40201800026W,2018-01-02,kodecoon ,,Education; Technical training.,KODECOON LLP,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800026W/e2f1106c-8496-4f22-8efe-fd3fefb47e6d/de161c25-c1b0-4129-a040-dd1b3db652ad.jpg,40201800026W.jpg,Registered,2028-01-02
40201800028P,2018-01-02,love and happiness,,"Skin care preparations; lipsticks; lip gloss; beauty masks; abrasive cloth; abrasive paper; abrasives; adhesives for affixing false hair; adhesives for cosmetic purposes; after-shave lotions; almond milk for cosmetic purposes; almond oil; almond soap; aloe vera preparations for cosmetic purposes; alum stones [astringents]; amber [perfume]; antiperspirant soap; antiperspirants [toiletries]; aromatics [essential oils]; astringents for cosmetic purposes; bath salts, not for medical purposes; beard dyes; beauty masks; bergamot oil; bleaching preparations [decolorants] for cosmetic purposes; breath freshening sprays; breath freshening strips; cakes of toilet soap; cleansing milk for toilet purposes; colorants for toilet purposes; color-removing preparations; colour-brightening chemicals for household purposes [laundry]; cosmetic kits; cosmetic preparations for slimming purposes; cosmetics for animals; cotton sticks for cosmetic purposes; cotton wool for cosmetic purposes; dental bleaching gels; deodorant soap; deodorants for human beings or for animals; depilatories; depilatory preparations; douching preparations for personal sanitary or deodorant purposes [toiletries]; dry shampoos; eau de cologne; emery; essential oils; ethereal essences; ethereal oils; extracts of flowers [perfumes]; eyebrow cosmetics; eyebrow pencils; false eyelashes; false nails; greases for cosmetic purposes; hair colorants; hair dyes; hair lotions; hair spray; hair waving preparations; hydrogen peroxide for cosmetic purposes; incense; ionone [perfumery]; jasmine oil; javelle water; joss sticks; lavender oil; lavender water; lotions for cosmetic purposes; make-up preparations; make-up removing preparations; mascara; massage gels other than for medical purposes; mint essence [essential oil]; mint for perfumery; musk [perfumery]; moustache wax; nail art stickers; nail care preparations; nail polish; nail varnish; neutralizers for permanent waving; oils for cosmetic purposes; oils for perfumes and scents; oils for toilet purposes; perfumery; perfumes; petroleum jelly for cosmetic purposes; pomades for cosmetic purposes; pumice stone; rose oil; shampoos; shaving preparations; shaving soap; skin whitening creams; soap; soap for foot perspiration; sunscreen preparations; sun-tanning preparations [cosmetics]; talcum powder, for toilet use; terpenes [essential oils]; tissues impregnated with cosmetic lotions; toilet water; varnish-removing preparations; waving preparations for the hair; Cosmetics; Make-up; Make-up powder; Foundation; Moisturizers; Beauty care preparations; Non-medicated body care preparations; Essential oils for personal use; Hand lotions; Facial lotions; Body lotion; Skin conditioners; Face creams; Body creams; Balms, other than for medical purposes; Essential oils of cedarwood; Essential oils of citron; Cosmetics in the form of creams; Cosmetic creams; Skin whitening creams; Cosmetic dyes; Ethereal essences; False nails; Cosmetic pencils; Eyebrow pencils; Denture polishes; Make-up powders sold in compacts; Neutralizers for permanent waving; Essential oils of citron; Essential oils of cedarwood; Adhesives for affixing false eyelashes; Cosmetic preparations for eyelashes; Extracts of flowers [perfumes]; Non-medicated toiletries; Depilatory waxes; Nail varnish; Decorative transfers for cosmetic purposes; Breath freshening sprays; Deodorant soap; Breath freshening strips; Cosmetic skin care preparations; Antiperspirant soap; Cleansing milk for toilet purposes; Pre-moistened cosmetic tissues; Essential oils of lemon; Cosmetic preparations for baths.; Advertising and promotional services relating to cosmetics, make up, lipstick, lip liner, lip pencil, lip balm, lip gloss, fragrances, skin, nail and hair care products; retail store and online retail services, all relating to cosmetics, make up, lipstick, lip liner, lip pencil, lip balm, lip gloss, fragrances, skin, nail and hair care products; the bringing together, for the benefit of others, of cosmetics, make up, lipstick, lip liner, lip pencil, lip balm, lip gloss, fragrances, skin, nail and hair care products (excluding the transport thereof), enabling customers to conveniently view and purchase those goods from a general merchandise catalogue by mail order; Arranging and conducting marketing promotional events for others relating to cosmetics, make up, lipstick, lip liner, lip pencil, lip balm, lip gloss, fragrances, skin, nail and hair care products; providing promotional consultation, information and advisory services, all relating to cosmetics, make up, lipstick, lip liner, lip pencil, lip balm, lip gloss, fragrances, skin, nail and hair care products; Wholesale services; Retail services.",Islestarr Holdings Limited,United Kingdom,https://ipos-storage.data.gov.sg/trademarks/40201800028P/8300e114-7c53-4c23-92c9-a9b922e4cded/dce3298f-2b17-4f1f-8b98-e1f11fa3b058.JPG,40201800028P.jpg,Registered,2028-01-02
40201800015P,2018-01-02,gplicht licht ,,"Lighting apparatus and installations; discharge tubes, electric, for lighting; lamps; lamp globes; lamp reflectors; lamp shades; electric lamps; lamp casings; lamp glasses; electric lanterns; candle lanterns; oil lanterns; portable paper lanterns; lanterns for lighting; light bulbs; light bulbs, electric; light diffusers; standard lamps; street lamps; luminous tubes for lighting.",Vomica s.r.o.,Czech Republic,https://ipos-storage.data.gov.sg/trademarks/40201800015P/bc846fa2-a041-4960-bbb8-feab76c8ef05/f3ac3dc6-3a19-46b2-b0f9-7d3f07202a54.JPG,40201800015P.jpg,Registered,2028-01-02
40201800019Q,2018-01-02,simply,,"Edible oils; edible fats; margarine; shortening; vegetable ghee (edible fats); vanaspati (edible fats); hydrogenated vegetable oils; nuts, prepared; cashew kernels, processed; peanuts, processed; peanut butter; fruit, preserved; raisins; fruits, tinned; salads; potato chips; preserved garden herbs (other than seasonings); mushrooms, preserved; tofu; beans, preserved; albumen for food; eggs; milk; milk beverages (milk predominating); milk products; cheese; yogurt; crustaceans (not live); shellfish (not live); food products made from fish; Meat, fish, poultry and game; meat extracts; soups; fruit jellies; jams; cranberry sauce (compote); jellies for food; potato chips, preserved, dried and cooked fruits and vegetables; onions (preserved); sardines; caviar; tomato puree; Canned tomatoes; Condensed tomatoes; Pre-cooked tomato based foods; Pre-cooked tomato soups; Preserved tomatoes; Tomato concentrates (puree); Tomato juice for cooking; Tomato paste; Tomato preserves; Tomatoes (canned); Tomatoes (cooked); Tomatoes (dried); Tomatoes (preserved); Baked beans; Preparations consisting principally of baked beans; Bean curd; Bean curd (processed vegetables); Beans, preserved; Broad beans; Canned beans; Chilli beans; Dried soya beans; Preparations made wholly or principally of bean curd; Preserved beans; Preserved soya beans; Refried beans; Soya bean curd; Soya bean milk; Soya bean milk in liquid and solid form; Soya bean oil for food; Soya beans, preserved, for food.; Flour; biscuits; cookies; bread; cakes; candy for food; confectionery; baking powder; edible ices; cereal preparations; pastry; noodles; pasta; chocolate; cocoa; cocoa-based beverages; coffee; coffee-based beverages; tea; sugar; invert sugar; raw sugar; treacle; castor sugar; golden syrup; coffee crystals being sweeteners in this class; molasses for food; rice; sago; starch products for food; honey; yeast; leaven; salt; mustard; vinegar; condiments; dressings for salad; sauces [condiments]; seasonings; spices; essences for foodstuffs [except etheric essences and essential oils]; flavourings, other than essential oils; ice; instant noodles; canned spaghetti in tomato sauce; Tomato based sauces; Tomato ketchup; Tomato sauce; Bean meal; Coffee beans; Hot chilli bean paste; Locust bean gum; Soya bean paste (condiment); tapioca; artificial coffee.",Wilmar International Limited,Singapore,https://ipos-storage.data.gov.sg/trademarks/40201800019Q/83d9bd28-9022-4d57-8d17-6271e42b3747/31016e0a-961e-4312-941a-04d15bff1bde.jpg,40201800019Q.jpg,Registered,2028-01-02
40201800020Y,2018-01-02,great wall,,"Tiles, not of metal, for building; Glazed ceramic tiles; Mosaic tiles; Floor tiles, not of metal; Wall tiles, not of metal; Ceramic tiles; Wood paving; Potters' clay; Gypsum [building material]; Cement; Refractory construction materials, not of metal; Floors, not of metal; Building glass; Binding agents for making stones.",Wu Ruizhang,China,https://ipos-storage.data.gov.sg/trademarks/40201800020Y/b8ae81ef-9bee-40c3-91b1-db7a3cd1a11c/c996e0e8-3589-41de-b73d-0b3503aa5840.jpg,40201800020Y.jpg,Treated As Withdrawn ,
40201800025Q,2018-01-02,helen's bar,,"Canteen services; hotel services; café services; food and drink catering; accommodation bureau services [hotels, boarding houses]; self-service restaurant services; snack-bar services; bar services; mobile catering services; Coffee shop services; Office catering services for the provision of coffee; Tea rooms; Tea room services.","Beijing Helen Brand Management Co., Ltd.",China,https://ipos-storage.data.gov.sg/trademarks/40201800025Q/f727df49-57fb-4719-9b82-af59603aa048/16b5baa6-7d7a-4125-a767-4f37baf5f07c.jpg,40201800025Q.jpg,Cancelled,2028-01-02
40201800027R,2018-01-02,1855 supertea crazy tea lab,,Coffee-based beverages; tea-based beverages; Honey; Confectionery; Pastries; hot dog sandwiches; Bread; cereal-based snack food; Pizzas; cereal preparations; Noodles; ice cream; Condiments; popcorn.,"TAN,CHIH-WEN","Taiwan, Republic of China",https://ipos-storage.data.gov.sg/trademarks/40201800027R/693650d9-04d8-4e56-bc26-338722d35267/dbb3e738-affa-4e0f-abec-d36d930c170d.jpg,40201800027R.jpg,Registered,2028-01-02
